2026-06-17 06:35:20 | INFO | retriever:retrieve:166 | Clinician retrieval: 2 results after KG expansion
2026-06-17 06:35:21 | INFO | reranker:rerank:87 | Lightweight reranked 2 -> 2 results
2026-06-17 06:35:21 | INFO | rag_pipeline:query:100 | Processing query: role=clinician, user_id=clinician_001, query=CBT protocol for depression - key components and s...
2026-06-17 06:35:21 | INFO | retriever:retrieve:144 | Clinician retrieval for clinician clinician_001: CBT protocol for depression - key components and session structure?
2026-06-17 06:35:21 | INFO | retriever:retrieve:166 | Clinician retrieval: 2 results after KG expansion
2026-06-17 06:35:21 | INFO | reranker:rerank:87 | Lightweight reranked 2 -> 2 results
2026-06-17 06:35:21 | INFO | main:main:156 | RAG System demo complete
2026-06-17 08:04:04 | INFO | logging:setup_logging:27 | Logging configured
2026-06-17 08:04:04 | INFO | config:load:22 | Configuration loaded from configs/config.yaml
2026-06-17 08:04:04 | INFO | main:main:167 | Starting RAG System
2026-06-17 08:04:04 | INFO | embedder:_load_model:29 | Loading SBERT model: sentence-transformers/all-MiniLM-L6-v2
2026-06-17 08:04:21 | INFO | embedder:_load_model:33 | SBERT model loaded successfully
2026-06-17 08:04:21 | INFO | embedder:_load_model:59 | Loading MedCPT model: ncbi/MedCPT-Article-Encoder
2026-06-17 08:04:24 | INFO | embedder:_load_model:64 | MedCPT model loaded successfully
2026-06-17 08:04:24 | INFO | embedder:_load_model:29 | Loading SBERT model: sentence-transformers/all-MiniLM-L6-v2
2026-06-17 08:04:31 | INFO | embedder:_load_model:33 | SBERT model loaded successfully
2026-06-17 08:04:31 | INFO | embedder:_load_model:59 | Loading MedCPT model: ncbi/MedCPT-Article-Encoder
2026-06-17 08:04:33 | INFO | embedder:_load_model:64 | MedCPT model loaded successfully
2026-06-17 08:04:33 | INFO | rag_pipeline:build_indexes:43 | Building all indexes...
2026-06-17 08:04:33 | INFO | curated_kb:ingest:15 | Starting curated KB ingestion from data\curated_kb
2026-06-17 08:04:33 | INFO | curated_kb:ingest:19 | Found 2 PDF files
2026-06-17 08:04:33 | INFO | base:parse:27 | Parsing with Docling-style parser: data\curated_kb\dbt-distress-tolerance-skills-standard-english.pdf
2026-06-17 08:04:34 | INFO | base:parse:48 | Extracted 2 pages from data\curated_kb\dbt-distress-tolerance-skills-standard-english.pdf
2026-06-17 08:04:34 | INFO | base:parse:27 | Parsing with Docling-style parser: data\curated_kb\dbt-emotion-regulation-skills-standard-english.pdf
2026-06-17 08:04:34 | INFO | base:parse:48 | Extracted 2 pages from data\curated_kb\dbt-emotion-regulation-skills-standard-english.pdf
2026-06-17 08:04:34 | INFO | curated_kb:ingest:33 | Curated KB ingestion complete: 4 documents
2026-06-17 08:04:34 | INFO | chunker:chunk_documents:124 | Total chunks created: 31
2026-06-17 08:04:34 | INFO | store:_load_or_create:59 | Creating new index: curated_kb_sbert
2026-06-17 08:04:34 | INFO | store:add_chunks:68 | Adding 16 chunks to curated_kb_sbert
2026-06-17 08:04:34 | INFO | store:_save:116 | Saved curated_kb_sbert: 16 vectors
2026-06-17 08:04:36 | INFO | store:_load_or_create:59 | Creating new index: curated_kb_medcpt
2026-06-17 08:04:36 | INFO | store:add_chunks:68 | Adding 16 chunks to curated_kb_medcpt
2026-06-17 08:04:36 | INFO | store:_save:116 | Saved curated_kb_medcpt: 16 vectors
2026-06-17 08:04:36 | INFO | rag_pipeline:build_indexes:63 | Index building complete in 3.24s
2026-06-17 08:04:36 | INFO | rag_pipeline:ingest_user_data:66 | Ingesting data for user: patient_001
2026-06-17 08:04:36 | INFO | user_content:ingest_user_data:14 | Starting user content ingestion for user: patient_001
2026-06-17 08:04:36 | INFO | user_content:ingest_user_data:23 | Found 1 text files for user patient_001
2026-06-17 08:04:36 | INFO | base:parse:94 | Parsing text file: data\user_content\users\patient_001\journal_week1.txt
2026-06-17 08:04:36 | INFO | user_content:ingest_user_data:35 | User content ingestion complete for patient_001: 1 documents
2026-06-17 08:04:36 | INFO | chunker:chunk_documents:124 | Total chunks created: 2
2026-06-17 08:04:36 | INFO | store:_load_or_create:52 | Loading existing index: user_patient_001_private
2026-06-17 08:04:36 | INFO | store:_load_or_create:57 | Loaded 2 vectors from user_patient_001_private
2026-06-17 08:04:36 | INFO | store:add_chunks:68 | Adding 1 chunks to user_patient_001_private
2026-06-17 08:04:36 | INFO | store:_save:116 | Saved user_patient_001_private: 3 vectors
2026-06-17 08:04:36 | INFO | rag_pipeline:ingest_clinician_data:82 | Ingesting data for clinician: clinician_001
2026-06-17 08:04:36 | INFO | user_content:ingest_clinician_data:39 | Starting clinician content ingestion for clinician: clinician_001
2026-06-17 08:04:36 | INFO | user_content:ingest_clinician_data:48 | Found 1 text files for clinician clinician_001
2026-06-17 08:04:36 | INFO | base:parse:94 | Parsing text file: data\user_content\clinicians\clinician_001\patient_001_intake.txt
2026-06-17 08:04:36 | INFO | user_content:ingest_clinician_data:60 | Clinician content ingestion complete for clinician_001: 1 documents
2026-06-17 08:04:36 | INFO | chunker:chunk_documents:124 | Total chunks created: 4
2026-06-17 08:04:36 | INFO | store:_load_or_create:52 | Loading existing index: clinician_clinician_001_private
2026-06-17 08:04:36 | INFO | store:_load_or_create:57 | Loaded 2 vectors from clinician_clinician_001_private
2026-06-17 08:04:36 | INFO | store:add_chunks:68 | Adding 2 chunks to clinician_clinician_001_private
2026-06-17 08:04:36 | INFO | store:_save:116 | Saved clinician_clinician_001_private: 4 vectors
2026-06-17 08:05:34 | INFO | rag_pipeline:query:100 | Processing query: role=patient, user_id=1, query=What is ACCEPTS in distress tollerance?...
2026-06-17 08:05:34 | INFO | retriever:retrieve:99 | Patient retrieval for user 1: What is ACCEPTS in distress tollerance?
2026-06-17 08:05:34 | INFO | store:_load_or_create:59 | Creating new index: user_1_private
2026-06-17 08:05:34 | INFO | retriever:build_index:30 | BM25 index built with 16 documents
2026-06-17 08:05:34 | INFO | retriever:retrieve:119 | Patient retrieval: 16 fused results
2026-06-17 08:05:34 | INFO | embedder:_load_model:29 | Loading SBERT model: sentence-transformers/all-MiniLM-L6-v2
2026-06-17 08:05:42 | INFO | embedder:_load_model:33 | SBERT model loaded successfully
2026-06-17 08:05:43 | INFO | reranker:rerank:87 | Lightweight reranked 16 -> 5 results
2026-06-17 08:08:38 | INFO | rag_pipeline:query:100 | Processing query: role=I feel overwhelmed and can’t control my emotions, user_id=1, query=...
2026-06-17 08:09:00 | INFO | rag_pipeline:query:100 | Processing query: role=patient, user_id=patient_002, query=I feel overwhelmed and can’t control my emotions...
2026-06-17 08:09:00 | INFO | retriever:retrieve:99 | Patient retrieval for user patient_002: I feel overwhelmed and can’t control my emotions
2026-06-17 08:09:00 | INFO | store:_load_or_create:59 | Creating new index: user_patient_002_private
2026-06-17 08:09:00 | INFO | retriever:retrieve:119 | Patient retrieval: 16 fused results
2026-06-17 08:09:00 | INFO | reranker:rerank:87 | Lightweight reranked 16 -> 5 results
2026-06-17 08:34:46 | INFO | main:main:207 | RAG System demo complete
2026-06-17 08:35:57 | INFO | logging:setup_logging:27 | Logging configured
2026-06-17 08:35:57 | INFO | config:load:22 | Configuration loaded from configs/config.yaml
2026-06-17 08:35:57 | INFO | main:main:170 | Starting RAG System
2026-06-17 08:35:57 | INFO | embedder:_load_model:30 | Loading SBERT model: sentence-transformers/all-MiniLM-L6-v2
2026-06-17 08:36:13 | INFO | embedder:_load_model:34 | SBERT model loaded successfully
2026-06-17 08:36:13 | INFO | embedder:_load_model:60 | Loading MedCPT model: ncbi/MedCPT-Article-Encoder
